StudentID,FirstName,LastName,Major,HighSchoolGPA,FamilyIncome,State,AvgDailyStudyTime,TotalAbsence,FirstYearGPA,isGRA
202303595,Baxter,Dengler,Computer Science,2.82,45013,WA,2.01,14,1.93,0
202309162,Christian,Wickey,Data Science,3.07,128358,GA,5.41,,2.76,0
202306337,Lonnie,Wulff,Software Engineering,2.68,112392,GA,9.57,13,3.09,0
202306072,Mitchell,Deshotel,Software Engineering,3.21,190846,GA,8.57,16,3.08,0
202301733,Linwood,Willing,Information Technology,3.44,187163,GA,6.24,20,2.73,0
202305362,Rocco,Dandrea,Information Technology,2.7,39186,SC,7.68,12,3.37,1
202306465,Guy,Mcleroy,Information Technology,3.04,265177,GA,5.6,50,2.52,0
202305188,Gustav,Sterk,Software Engineering,2.66,184295,FL,6.49,18,2.56,0
202308816,Seymour,Ediger,Data Science,3.16,82071,GA,2.39,17,1.68,0
202307074,Delbert,Dauria,Software Engineering,3.18,30401,AL,5.58,14,2.24,0
202303678,Donnie,Riemer,Software Engineering,2.81,147583,SC,7.64,17,2.9,0
202302442,Luke,Datta,Computer Science,2.45,112614,GA,5.59,22,2.46,0
202302098,Eric,Mckellar,Information Technology,2.93,159592,GA,6.67,16,3.04,0
202306309,Ted,Wisniewski,Information Technology,3.06,117836,TN,10.68,24,3.68,1
202309206,Smith,Magnus,Data Science,3.08,81323,FL,5.98,18,2.57,0
202307692,Jasper,Odriscoll,Information Technology,2.25,204827,SC,1.91,21,1.8,0
202305493,Riley,Wynter,Information Technology,2.26,312856,GA,3,17,1.97,0
202307947,Austin,Galdamez,Computer Science,2.07,123967,GA,1.27,29,1.42,0
202302693,Bill,Mize,Data Science,2.7,319900,AL,7.91,11,3.29,1
202304771,Lindsey,Basquez,Computer Science,2.94,48870,GA,6.81,23,2.78,0
202302601,Rube,Reppert,Computer Science,3.69,30725,SC,4.34,11,2.34,0
202309569,Boyd,Hetland,Computer Science,3.71,109076,FL,8.1,9,3.45,1
202302197,Gideon,Aderholt,Data Science,2.57,123397,GA,4.46,20,2.65,0
202308152,Mathias,Saintil,Data Science,3.94,190595,GA,9.59,11,3.69,1
202304260,Eva,Stickel,Software Engineering,3.61,216423,,12.27,16,3.55,1
202300175,Loyd,Khatib,Computer Science,2.61,29745,SC,7.04,21,2.67,0
202309546,Winfred,Mcpherson,Software Engineering,3.36,72123,TN,7.59,12,2.93,0
202307269,Wright,Debruin,Computer Science,2.62,125206,AL,7.49,18,2.46,0
202303814,Benjaman,Barlow,Data Science,3.22,87872,FL,7.2,8,2.9,0
